Year AD,Year BS,Population Total
1960,2017,9544938
1961,2018,9710150
1962,2019,9881783
1963,2020,10060686
1964,2021,10247834
1965,2022,10443932
1966,2023,10649467
1967,2024,10864396
1968,2025,11088215
1969,2026,11320100
1970,2027,11559455
1971,2028,11806296
1972,2029,12060891
1973,2030,12323203
1974,2031,12593223
1975,2032,12871016
1976,2033,13156441
1977,2034,13449680
1978,2035,13751522
1979,2036,14063010
1980,2037,14384864
1981,2038,14718228
1982,2039,15062998
1983,2040,15417207
1984,2041,15778051
1985,2042,16143975
1986,2043,16513244
1987,2044,16887696
1988,2045,17273606
1989,2046,17679536
1990,2047,18111200
1991,2048,18569445
1992,2049,19050879
1993,2050,19551500
1994,2051,20065413
1995,2052,20587157
1996,2053,21115271
1997,2054,21647305
1998,2055,22175431
1999,2056,22690158
2000,2057,23184177
2001,2058,23655119
2002,2059,24102862
2003,2060,24525527
2004,2061,24921910
2005,2062,25292058
2006,2063,25634043
2007,2064,25950022
2008,2065,26249412
2009,2066,26544943
2010,2067,26846016
2011,2068,27156367
2012,2069,27474377
2015,2072,28441000
2020,2077,30001000
