title,source,csv file,git hub csv file,pdf link,pdf name,year
Manufacturing Companies (2006-072011-12),Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/NCME .csv&nid=5265,"https://github.com/opennepal/odp-census/tree/master/Manufacturing Companies (2006-07,2011-12)/data.csv",http://cbs.gov.np/wp-content/uploads/2012/Manufacturing/district/Table 1.pdf,Table 1.pdf,2006/07-2011/12
Population of Kathmandu Metropolitan city according to age group and sex2011,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Kathmandu metropolitan city.csv&nid=4325,"https://github.com/opennepal/odp-census/tree/master/Population of Kathmandu Metropolitan city according to age group and sex,2011/data.csv",http://cbs.gov.np/wp-content/uploads/2014/03/Volume05Part01.pdf,Volume05Part01.pdf,
Urban Population and Density by Municipality 2011,,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/urban population and density.csv&nid=4173,"https://github.com/opennepal/odp-census/tree/master/Urban Population and Density by Municipality, 2011/data.csv",http://cbs.gov.np/wp-content/uploads/2014/07/Environment Statistics of Nepal 2013.pdf,Environment Statistics of Nepal 2013.pdf,
District wise Sex Ratio (male per 100 female ) 2011,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/District wise Sex Ratio (male per 100 female).csv&nid=4161,"https://github.com/opennepal/odp-census/tree/master/District wise Sex Ratio (male per 100 female ), 2011/data.csv",http://cbs.gov.np/wp-content/uploads/2014/07/Environment Statistics of Nepal 2013.pdf,Environment Statistics of Nepal 2013.pdf,
District wise Population Land Ratio and Population Density (2011),Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/District wise Population Land Ratio and Population Density_0.csv&nid=4159,https://github.com/opennepal/odp-census/tree/master/District wise Population Land Ratio and Population Density (2011)/data.csv,http://cbs.gov.np/wp-content/uploads/2014/07/Environment Statistics of Nepal 2013.pdf,Environment Statistics of Nepal 2013.pdf,
Under five year population in 2068-69,Ministry of Health and population,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Datasets for OpenNepal - 22.csv&nid=2469,https://github.com/opennepal/odp-census/tree/master/Under five year population in 2068-69/data.csv,http://dohs.gov.np/wp-content/uploads/2014/04/Annual-Report-2068-69.pdf,Annual-Report-2068-69.pdf,
Population Trend,The World Bank,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/population_trend.csv&nid=1182,https://github.com/opennepal/odp-census/tree/master/Population Trend/data.csv,,,1960-2020
National Population and Household Census 2011 Vdc-Municipality Level,Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Population with VDC.csv&nid=254,https://github.com/opennepal/odp-census/tree/master/National Population and Household Census 2011 Vdc-Municipality Level/data.csv,,,
National population and household census(1971-2011),Central Bureau of Statistics,http://data.opennepal.net/sites/all/modules/pubdlcnt/pubdlcnt.php?file=http://data.opennepal.net/sites/default/files/resources/Population.csv&nid=151,https://github.com/opennepal/odp-census/tree/master/National population and household census(1971-2011)/data.csv,,,1971-2011
